Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Alexander C. Campbell,Alexander C.,Campbell,,Alumni,Editorial Board,"Assistant Editor for Vol 71.2 Ungoverned Spaces,Vol 71.1.5 Contentious Narratives, and Vol 71.1 Democracy"
Alexander N. Kasuya,Alexander N.,Kasuya,,Alumni,Editorial Board,"Editorial Assistant for Vol 59.2 The Globalization of Disaster and Vol 59.1 The Politics of the Sea
Director of Marketing for Vol 60.1 Historical Reconciliation
Online Editor for Vol 60.2 Iran"
Alexandra A. Meise,Alexandra A.,Meise,,Alumni,Editorial Board,Editorial Assistant for Vol 60.1 Historical Reconciliation
Alexandra Claire Alper,Alexandra Claire,Alper,,Alumni,Editorial Board,Editorial Assistant for Vol 63.1 Pakistan & Afghanistan
Alexandra E. George,Alexandra E.,George,,Alumni,Editorial Board,Book Review Editor for Vol 33.1 Technology and the New International Order and Vol 32.2 Leadership Succession in the Communist States
Alfred J. Laspina,Alfred J.,Laspina,,Alumni,Editorial Board,Marketing Director for Vol 45.2 Rethinking Nationalism and Sovereignty and Vol 45.2 Rethinking Nationalism and Sovereignty
Alicia Sue Yeeng,Alicia Sue,Yeeng,,Alumni,Editorial Board,Production Assistant for Vol 63.1 Pakistan & Afghanistan and Vol 63.2 Rethinking Russia
Alina Rocha Menocal,Alina Rocha,Menocal,,Alumni,Editorial Board,"Editorial Assistant for Vol 50.2 Privatization and Vol 51.1 South Asia
Senior Editor for Vol 51.2 Technology and International Policy and Vol 52.1 The Multiple Faces of World Poverty"
Alison M. Trachtman,Alison M.,Trachtman,,Alumni,Editorial Board,Editorial Assistant for Vol 55.2 Toeing the Blue Line and Vol 56.1 Face of the State
Allen C. Stewart,Allen C.,Stewart,,Alumni,Editorial Board,Editor for Vol 8.1 Postwar Soviet Foreign Policy and Vol 8.2 The Military and U.S. Foreign Policy
Allison L. Cooke,Allison L.,Cooke,,Alumni,Editorial Board,Editorial Assistant for Vol 25.2 Change and the Future International System
Allison L. Lee,Allison L.,Lee,,Alumni,Editorial Board,Director of Marketing for Vol 58.1 State Building and Vol 58.2 Financing Development
Allison Lee Cooke,Allison Lee,Cooke,,Alumni,Editorial Board,Associate Editor (Book Reviews) for Vol 26.1 The Military-Industrial Complex and Vol 26.2 Micropolitics
Alvin I. Sigal,Alvin I.,Sigal,,Alumni,Editorial Board,Editorial Assistant for Vol 5.1 American Foreign Policy and Vol 5.2 Propaganda in World Politics
Amanda Adames Marmolejos,Amanda Adames,Marmolejos,,Alumni,Editorial Board,Production Assistant for Vol 64.1 Innovating for Development and Vol 64.2 Sino-Indian Relations
Amy L. Keith,Amy L.,Keith,,Alumni,Editorial Board,"Editorial Assistant for Vol 59.1 The Politics of the Sea
Book Reviews Editor for Vol 60.1 Historical Reconciliation
"
Ana Carolina Diaz,Ana Carolina,Diaz,,Alumni,Editorial Board,Editorial Assistant for Vol 68.1 Breaking Point: Protests and Revoluions
Ana-Maria Poveda Garces,Ana-Maria Poveda,Garces,,Alumni,Editorial Board,Editorial Assistant for Vol 63.2 Rethinking Russia
Andrea S.C. Wong,Andrea S.C.,Wong,,Alumni,Editorial Board,Editorial Assistant for Vol 62.1 Global Finance
