Displayed Name,First Name,Last Name,Role,Time,Group,Personal Statement / Summary (optional)
Margaret Catley-Carlson,Margaret,Catley-Carlson,Print,Other,Author,Authored for Print issue Vol 52.1 The Multiple Faces of World Poverty published in 1998-99
María Nieves Rico,María Nieves,Rico,Print,Other,Author,Authored for Print issue Vol 61.2 Water published in 2007-08
Maria Y. Wang,Maria Y.,Wang,Print,Other,Author,Authored Book Review for Vol 64.2 Sino-Indian Relations published in 2010-11
Marie Béatrice Umutesi,Marie Béatrice,Umutesi,Print,Other,Author,Authored for Print issue Vol 60.1 Historical Reconciliation published in 2006-07
Mario Bours Laborin,Mario Bours,Laborin,Print,Other,Author,Authored Essay Review for Vol 65.1 Inside the Authoritarian State published in 2011-12
Mario L. Cioci,Mario L.,Cioci,Print,Other,Author,Authored for Print issue Vol 4.1 Europe After the Marshall Plan published in 1950-51
Marion F. Houstoun,Marion F.,Houstoun,Print,Other,Author,Authored for Print issue Vol 33.2 Politics of Labor Migration published in 1979-80
Mark G. Field,Mark G.,Field,Print,Other,Author,Authored for Print issue Vol 13.1 Science and World Politics published in 1959-60
Mark W. Zacher,Mark W.,Zacher,Print,Other,Author,"Authored for Print issue Vol 44.1 Theory, Values and Practice in International Relations published in 1990-91"
Marsha A. Freeman,Marsha A.,Freeman,Print,Other,Author,Authored for Print issue Vol 52.2 Seeking Institutional Justice published in 1998-99
Marshall I. Goldman,Marshall I.,Goldman,Print,Other,Author,Authored for Print issue Vol 39.2 China in Transition published in 1985-86 and Vol 53.1 Fueling the 21st Century published in 1999-00
Martha B. Olcott,Martha B.,Olcott,Print,Other,Author,"Authored for Print issue Vol 42.2 Gorbachev's Era of New Thinking published in 1988-89, Vol 53.1 Fueling the 21st Century published in 1999-00 and Vol 56.2 Central Asia published in 2002-03"
Martha Brill Olcott,Martha Brill,Olcott,Print,Other,Author,"Authored for Print issue Vol 42.2 Gorbachev's Era of New Thinking published in 1988-89, Vol 53.1 Fueling the 21st Century published in 1999-00 and Vol 56.2 Central Asia published in 2002-04"
Martin C. Libicki,Martin C.,Libicki,Print,Other,Author,Authored for Print issue Vol 51.2 Technology and International Policy published in 1997-98
Martin C. Needler,Martin C.,Needler,Print,Other,Author,Authored for Print issue Vol 28.2 Communism and Détente published in 1974-75
Martin Taarn Pedersen,Martin Taarn,Pedersen,Print,Other,Author,Martin Taarn Pedersen wrote the winning GPPN essay for Vol 67.1 The Gender Issue published in 2013-14
Marvin G. Weinbaum,Marvin G.,Weinbaum,Print,Other,Author,Authored for Print issue Vol 63.1 Pakistan & Afghanistan published in 2009-10
