Title,To node,Image,Topic,Date,DateMM,DateDD,DateYYYY,Author 1,Author 2,Author 3,Author O,Summary,Tag P,Tag A1,Tag A2,Tag A3,Tag AO,Tag R1,Tag R2,Tag R3,Tag RO
Governance Without Government in the Somali Territories,/news/governance-without-government-somali-territories,NO,ESSAY,01092019,01,09,2019,Nicole Stremlau,,,,,Adapted from Print Issue,Nicole Stremlau,,,,Africa,East Africa,,
The Disconnective Power of Disinformation Campaigns,/news/disconnective-power-disinformation-campaigns,NO,ARGUMENT,09182018,09,18,2018,Gregory Asmolov,,,,,Adapted from Print Issue,Gregory Asmolov,,,,Global Commons,,,
"Youth, Peace, And Security: A New Agenda for the Middle East and North Africa",/news/youth-peace-and-security-new-agenda-middle-east-and-north-africa,NO,ESSAY,06062016,06,06,2016,Margaret Williams,,,,,Adapted from Print Issue,Margaret Williams,,,,Middle East,Africa,North Africa,
A National Strategic Framework for Countering Violent Extremism in Jordan,/news/national-strategic-framework-countering-violent-extremism-jordan,NO,ESSAY,06062016,06,06,2016,Ghimar Deeb,Jeffrey Woodham,Mia Chin,Sawsan Gharaibeh,,Adapted from Print Issue,Ghimar Deeb,Jeffrey Woodham,Mia Chin,Sawsan Gharaibeh,Middle East,,,
America’s Ronin Refugees: Forgotten Allies of the Wars in Iraq and Afghanistan,/news/americas-ronin-refugees-forgotten-allies-wars-iraq-and-afghanistan,NO,ESSAY,06062016,06,06,2016,Chase Millsap,,,,,Adapted from Print Issue,Chase Millsap,,,,Americas,North America,Middle East,
Situation of the Bahá’í Minority in Iran and the Existing Legal Framework,/news/situation-bahai-minority-iran-and-existing-legal-framework,NO,ESSAY,06062016,06,06,2016,Shahin Milani,,,,,Adapted from Print Issue,Shahin Milani,,,,Middle East,,,
Schrödinger’s Kurds: Transnational Kurdish Geopolitics In The Age Of Shifting Borders,/news/schrodingers-kurds-transnational-kurdish-geopolitics-age-shifting-borders,NO,ESSAY,05192016,05,19,2016,H. Akin Unver,,,,,Adapted from Print Issue,H. Akin Unver,,,,Middle East,,,
Divesting From Sectarianism: Reimagining Relations Between Iran And The Arab Gulf States,/news/divesting-sectarianism-reimagining-relations-between-iran-and-arab-gulf-states,NO,ESSAY,05182016,05,18,2016,Hamada D. Zahawi,Khaled A. Beydoun,,,,Adapted from Print Issue,Hamada D. Zahawi,Khaled A. Beydoun,,,Middle East,,,
"A Bitter Pill To Swallow: Connections Between Captagon, Syria, And The Gulf",/news/bitter-pill-swallow-connections-between-captagon-syria-and-gulf,NO,ESSAY,05182016,05,18,2016,Max Kravitz,Will Nichols,,,,Adapted from Print Issue,Max Kravitz,Will Nichols,,,Middle East,,,
Misperceiving U.S. Foreign Policy in the Gulf: Raising the Hidden Costs of U.S. Dependence on Oil,/news/misperceiving-us-foreign-policy-gulf-raising-hidden-costs-us-dependence-oil,NO,ESSAY,01012016,01,01,2016,Steve A. Yetiv,,,,,Adapted from Print Issue,Steve A. Yetiv,,,,Middle East,Americas,North America,
