Slug,New node,Executive Board,Section Editors,Editorial Board
/content/mediterranean-europe,Credits Vol 19.2,"
Editor - Jack H. Thompson
Editor - Robert D. Reischauer
Editor - Susan L. Whitlo
Editor - E. Spencer Wellhofer
Editor - Brian D. G. Johnson",-,"Editorial Assistant - Alan G. Barsumian
Editorial Assistant - Roger E. Bunker
Editorial Assistant - Linda Crosse
Editorial Assistant - Nicholas W. Danforth
Editorial Assistant - Michael Edo
Editorial Assistant - Cynthia N. Hewitt
Editorial Assistant - E. Anne Hodges
Editorial Assistant - David R. Holmes
Editorial Assistant - Penelope A. King
Editorial Assistant - Robert G. Kurkjian
Editorial Assistant - Aida Levin
Editorial Assistant - Charles F. Maccormack
Editorial Assistant - Robert O. Matthews
Editorial Assistant - Peter R. Range
Editorial Assistant - William W. Sales, Jr.
Editorial Assistant - Edward Skloot
Editorial Assistant - Willard K. Warnock
Editorial Assistant - Richard C. Whitlo"
/content/arab-world,Credits Vol 19.1,"Editor-in-Chief - Brian D. G. Johnson
Managing Editor - Charles F. Maccormack
Interim Managing Editor - Christopher Prout
Secretary - Elizabeth C. Нilty","Associate Editor (Advertising) - E. Spencer Wellhofer 
Associate Editor (Book Reviews) - Susan L. Whitlo 
Associate Editor (Business) - Jack H. Thompson 
Associate Editor (Circulation) - Robert D. Reischauer","Editorial Assistant - Kathleen Farley
Editorial Assistant - Michael Gunter
Editorial Assistant - Cynthia Hewitt
Editorial Assistant - Alan Posner
Editorial Assistant - Peter Range
Editorial Assistant - Edward Wiggers
Editorial Assistant - William W. Sales, Jr.
Editorial Assistant - David R. Holmes"
/content/politics-partition,Credits Vol 18.2,"Editor-in-Chief - Aaron S. Klieman
Managing Editor - Kay A. Lorans","Associate Editor (Advertising) - Byron F. Battle 
Associate Editor (Book Reviews) - John M. Reid 
Associate Editor (Business) - Henrietta M. Bartizal 
Associate Editor (Circulation) - Robert W. Pons","Editorial Assistant - James K. Connell
Editorial Assistant - Ruth Grossman
Editorial Assistant - Brian D. Johnson
Editorial Assistant - Charles P. Maccor. Mack
Editorial Assistant - Martha A. Stuckey
Editorial Assistant - Jack H. Thompson
Editorial Assistant - Adrian L. Weingart
Editorial Assistant - E. Spencer Wellhofer
Editorial Assistant - Raymond D. White
Editorial Assistant - Susan L. Whitlo"
/content/statesmen-and-succession,Credits Vol 18.1,"
Editor-in-Chief - Aaron S. Klieman
Managing Editor - Kay A. Lorans
Associate Editor (Advertising) - Byron F. Battle
Associate Editor (Book Reviews) - John M. Reid
Associate Editor (Business) - Henrietta M. Bartizal
Associate Editor (Circulation) - Robert W. Pons",-,"Editorial Assistant - Roger E. Bunker
Editorial Assistant - James K. Connell
Editorial Assistant - Linda Crosse
Editorial Assistant - Lyon H. Fisher
Editorial Assistant - Jill Fleisher
Editorial Assistant - Ralph Hellmold
Editorial Assistant - Elizabeth A. Hodges
Editorial Assistant - Enayat Houshmand
Editorial Assistant - Brian D. Johnson
Editorial Assistant - Will Lewis
Editorial Assistant - Charles P. Maccormack
Editorial Assistant - George Macpherson
Editorial Assistant - Toby Mayman
Editorial Assistant - Benon V. Sevan
Editorial Assistant - Jack H. Thompson
Editorial Assistant - Raymond D. White
Editorial Assistant - Susan L. Whitlo
Editorial Assistant - Mary Jane Wignot"
/content/asian-triangle,Credits Vol 17.2,"Editor-in-Chief - Bernard A. Klem
Managing Editor - Jonathan K. Graves
Associate Editor (Advertising) - John A. Grammer, Jr.
Associate Editor (Book Reviews) - Lewis C. Austin
Associate Editor (Business) - Robert B. Mantel
Associate Editor (Circulation) - Frederick H. Gerlach
Associate Editor (Promotion) - Wentworth B. Ofuatey-Kodjoe",-,"Editorial Assistant - Henrietta M. Bartizal
Editorial Assistant - Byron F. Battle
Editorial Assistant - Jacquelyn L. Collins
Editorial Assistant - Warren P. Hottle
Editorial Assistant - Aaron S. Klieman
Editorial Assistant - Kay A. Lorans
Editorial Assistant - Robert W. Pons
Editorial Assistant - John M. Reid
Editorial Assistant - Richard A. Rubin"
/content/diplomacy-transition,Credits Vol 17.1,"
Editor-in-Chief - Bernard A. Klem
Managing Editor - Jonatiian K. Graves
Business Manager - Robert B. Mantel","Assoc. Editor (Circulation) - Frederick H. Gerlach
Assoc. Editor (Promotion) - Wentworth B. Ofuatey-Kodjoe
Literary Editor - Lewis C. Austin
Advertising Manager - John A. Grammer, Jr.","Editorial Assistant - Emma Gee
Editorial Assistant - Corinne Heditsian
Editorial Assistant - Ronald S. Hikel
Editorial Assistant - William E. Lemieux
Editorial Assistant - Sherman L. Lewis
Editorial Assistant - Kay Lorans
Editorial Assistant - Jane A. Mcfadden
Editorial Assistant - Karla Reed
Editorial Assistant - Frederick D. Seaton"
/content/nation-building,Credits Vol 16.2,"
Editor-in-Chief - Everett Newton Kelsey
Managing Editor - Christian Richard Sonne
Business Manager - Franklyn J. C. Griffiths","
Associate Editor - James R. Morrison
Associate Editor (Circulation) - David Anthony Robison 
Book Review Editor - Richard M. Lamport, Jr. 
Advertising Manager - Leonard J. Baldyga","Editorial Assistant - Lewis Austin
Editorial Assistant - Emma Gee
Editorial Assistant - Frederick H. Gerlach
Editorial Assistant - Jonathan K. Graves
Editorial Assistant - Corinne Heditsian
Editorial Assistant - Bernard A. Klem
Editorial Assistant - Jane A. Mcfadden
Editorial Assistant - Wentworth B. Ofuatey-Kodjoe
Editorial Assistant - Karla Reed
Editorial Assistant - Cynthia Anne Shirk
Editorial Assistant - Frederick D. Seaton
Editorial Assistant - Samuel H. Wyman"
/content/western-europe,Credits Vol 16.1,"
Editor-in-Chief - Everett Newton Kelsey
Managing Editor - Christian Richard Sonne
Business Manager - Franklyn J. C. Griffiths","Associate Editor - James R. Morrison
Circulation Manager - David Anthony Robison
Book Review Editor - Richard M. Lamport, Jr.
Advertising Manager - Leonard J. Baldyga","Editorial Assistant - Nigel Barrow
Editorial Assistant - Betty Fludstrom
Editorial Assistant - Emma Gee
Editorial Assistant - Donald Hancock
Editorial Assistant - Chamberlain M. Hope
Editorial Assistant - Bernard A. Klem
Editorial Assistant - Stephen M. Lewin
Editorial Assistant - Jane A. Mcfadden
Editorial Assistant - Wentworth B. Ofuatey-Kodjoe
Editorial Assistant - Karla Reed
Editorial Assistant - Paul Schlamm
Editorial Assistant - Cynthia Anne Shirk
Editorial Assistant - Barbara Stanton
Editorial Assistant - Samuel H. Wyman"
/content/ideology,Credits Vol 15.2,"
Editor-in-Chief - Bruce W. Nelan
Managing Editor - James E. Bylin
Business Manager - Ian F. Wilson","Associate Editor - Maurice J. Picard 
Circulation Manager - Thomas P. Raynor 
Book Review Editor - Paul Auerswald 
Advertising Manager - Madeleine Adler","Editorial Assistant - Leonard J. Baldyga
Editorial Assistant - Frank Griffiths
Editorial Assistant - Everett N. Kelsey
Editorial Assistant - Sohrab Kheradi
Editorial Assistant - Richard Lamport
Editorial Assistant - James R. Morrison
Editorial Assistant - Robert O. Myhr
Editorial Assistant - David A. Robison
Editorial Assistant - Christian R. Sonne"
/content/many-africas,Credits Vol 15.1,"Editor-in-Chief - Bruce W. Nelan
Managing Editor - James E. Bylin
Business Manager - Ian F. H. Wilson","Associate Editor - Maurice J. Picard
Circulation Manager - Thomas P. Raynor
Book Review Editor - Paul Auerswald
Advertising Manager - Madeleine Adler","Editorial Assistant - Frank J. C. Griffiths
Editorial Assistant - Everett N. Kelsey
Editorial Assistant - Sohrab Kheradi
Editorial Assistant - James R. Morrison
Editorial Assistant - Christian R. Sonne"
